Brand,Flavor,Class,Serv(oz),Serv(g),Cal/Serv,Fat,Na,K,Carbs,Fiber,Sugar,Other,Protein,kcal/g,kcal/oz,Carb/Pro,Fat %,Sugar %,Na/kcal
Clif (Nut Butter Filled),Caramel Chocolate Peanut Butter,Bar,1.76,50,230,11,230,150,27,3,10,14,7,4.60,130,3.9,42%,17%,1.00
Clif (Nut Butter Filled),Chocolate & Hazelnut Butter,Bar,1.76,50,230,11,160,150,27,3,10,14,7,4.60,130,3.9,42%,17%,0.70
Clif (Nut Butter Filled),Coconut & Almond Butter,Bar,1.76,50,230,11,150,130,27,3,10,14,7,4.60,130,3.9,42%,17%,0.65
Clif (Nut Butter Filled),Peanut Butter,Bar,1.76,50,230,11,160,150,27,3,10,14,7,4.60,130,3.9,42%,17%,0.70
Clif (Nut Butter Filled),Chocolate & Peanut Butter,Bar,1.76,50,230,11,150,126,26,3,9,14,7,4.60,130,3.7,43%,16%,0.65
Kind (Protein),Almond Butter Dark Chocolate,Bar,1.76,50,230,17,110,,18,5,8,5,12,4.60,130,1.5,56%,12%,0.48
Milky Way,Original,Candy,1.84,52.2,240,9,75,,37,1,31,5,2,4.60,130,18.5,34%,52%,0.31
Backpacker's Pantry,"Granola with Bananas, Almonds & Milk",Cereal,4.76,135,620,31,280,,74,7,32,35,17,4.59,130,4.4,43%,20%,0.45
Backpacker's Pantry,"Granola with Blueberries, Almonds & Milk",Cereal,4.76,135,620,31,280,,73,6,34,33,17,4.59,130,4.3,44%,21%,0.45
Pro Bar (Meal),Chocolate Coconut,Bar,3.00,85,390,18,100,300,50,6,21,23,8,4.59,130,6.3,41%,21%,0.26
Pro Bar (Meal),Almond Cashew Crunch,Bar,3.00,85,390,18,25,320,47,6,20,21,9,4.59,130,5.2,42%,21%,0.06
Pro Bar (Meal),Peanut Butter,Bar,3.00,85,390,21,190,340,43,6,17,20,12,4.59,130,3.6,46%,17%,0.49
Hostess,Ding Dongs,Pastry,2.54,72,330,17,290,,43,1,33,9,2,4.58,130,21.5,46%,40%,0.88
Larabar,Cashew Cookie,Bar,1.69,48,220,12,5,300,25,2,15,8,5,4.58,130,5.0,47%,26%,0.02
Larabar,Peanut Butter Cookie,Bar,1.69,48,220,12,85,300,23,4,17,2,6,4.58,130,3.8,48%,30%,0.39
Maruchan,"Instant Lunch, chicken",Sides,2.26,64,290,12,1190,,39,2,2,35,7,4.53,128,5.6,37%,3%,4.10
Nature Valley,"Granola Bar, Oats & Honey",Bar,1.48,42,190,7,180,,29,2,11,16,3,4.52,128,9.7,33%,23%,0.95
Nissin,Top Ramen (various flavors),Sides,1.48,42,190,7,910,,26,2,1,23,5,4.52,128,5.2,34%,2%,4.79
Honey Stinger,Dark Chocolate Coconut Almond Pro,Bar,1.48,42,190,10,27,98,18,2,15,1,10,4.52,128,1.8,45%,30%,0.14
Nabisco,Wheat Thins,Cracker,1.09,31,140,5,230,95,22,3,4,15,2,4.52,128,11.0,32%,11%,1.64
Nestle,Oh Henry,Candy,1.80,51,230,11,100,,33,1,24,8,3,4.51,128,11.0,41%,40%,0.43
Reese's,Fast Break Bar,Candy,1.80,51,230,11,170,,32,1,27,4,4,4.51,128,8.0,41%,44%,0.74
Butterfinger,Original,Candy,2.12,60,270,11,135,,43,1,28,14,4,4.50,128,10.8,34%,39%,0.50
Signature (Safeway),Honey Oat Granola,Cereal,1.76,50,225,7,75,,36,6,11,19,4,4.50,128,9.0,28%,20%,0.33
RiverTrail,Tropical Trail Mix,Trail Mix,1.41,40,180,9,43,,23,3,14,6,3,4.50,128,7.7,44%,30%,0.24
Kind,Almond & Coconut,Bar,1.41,40,180,12,10,150,21,2,13,6,3,4.50,128,7.0,53%,25%,0.06
Kind,Dark Chocolate Almond Coconut,Bar,1.41,40,180,12,15,160,21,4,12,5,3,4.50,128,7.0,53%,24%,0.08
Kind,Peanut Butter & Strawberry,Bar,1.41,40,180,12,15,,19,5,9,5,5,4.50,128,3.8,53%,18%,0.08
Kind,Dark Chocolate Chili Almond,Bar,1.41,40,180,15,115,,16,7,5,4,5,4.50,128,3.2,62%,9%,0.64
Kind,Fruit & Nut,Bar,1.41,40,180,13,15,180,17,3,7,7,6,4.50,128,2.8,56%,13%,0.08
Kind,Dark Chocolate Nuts & Sea Salt,Bar,1.41,40,180,15,140,,16,7,5,4,6,4.50,128,2.7,61%,9%,0.78
Kind,Extra Dark Chocolate Nuts & Sea Salt,Bar,1.41,40,180,140,,,16,7,5,4,6,4.50,128,2.7,93%,1%,0.00
Kind,Honey Roasted Nuts & Sea Salt,Bar,1.41,40,180,15,140,,15,4,5,6,6,4.50,128,2.5,62%,9%,0.78
Kind,Madagascar Vanilla Almond,Bar,1.41,40,180,15,15,,15,6,4,5,6,4.50,128,2.5,62%,7%,0.08
Savory Harvest,Pizza,Bar Savory,1.41,40,180,10,200,,17,3,4,10,7,4.50,128,2.4,48%,9%,1.11
Savory Harvest,BBQ,Bar Savory,1.41,40,180,10,210,,16,3,4,9,7,4.50,128,2.3,49%,9%,1.17
Savory Harvest,Sriracha,Bar Savory,1.41,40,180,10,210,,16,3,4,9,7,4.50,128,2.3,49%,9%,1.17
Zagnut,Zagnut Bar,Candy,1.73,49,220,9,100,,35,1,25,9,3,4.49,127,11.7,35%,43%,0.45
Greenbelly,"Meal 2GO, Caramel Apple",Bar,5.47,155,695,29,800,378,90,9,39,42,18,4.48,127,5.0,38%,23%,1.15
Kind,Oats & Honey Clusters with Toasted Coconut,Cereal,1.02,29,130,4,20,,21,3,5,13,2,4.48,127,10.5,28%,16%,0.15
Mars,Original Bar,Candy,3.53,100,448,16.7,420,,69.3,0,59.9,9.4,4.4,4.48,127,15.8,34%,54%,0.94
Bear Naked,Peanut Butter & Honey,Bar,1.34,38,170,8,190,,20,3,7,10,5,4.47,127,4.0,42%,16%,1.12
Pro Bar (Meal),Superfood Slam,Bar,3.00,85,380,18,25,380,48,6,20,22,10,4.47,127,4.8,41%,20%,0.07
Clif (Whey Protein Bar),Salted Caramel Cashew,Bar,1.98,56,250,11,200,170,26,3,5,18,14,4.46,127,1.9,38%,8%,0.80
18 Rabbits,"Date, Pecan & Coconut",Bar,1.59,45,200,9,10,,28,2,9,17,3,4.44,126,9.3,40%,18%,0.05
Larabar,Apple Pie,Bar,1.59,45,200,9,10,300,25,4,18,3,4,4.44,126,6.3,41%,37%,0.05
Larabar,Key Lime Pie,Bar,1.59,45,200,10,10,280,25,4,18,3,4,4.44,126,6.3,44%,35%,0.05
Larabar,Lemon Bar,Bar,1.59,45,200,10,5,300,24,3,16,5,4,4.44,126,6.0,45%,32%,0.03
Signature (Safeway),Walking on Sunshine,Trail Mix,1.59,45,200,12,0,280,22,4,15,3,5,4.44,126,4.4,50%,28%,0.00
Picky Bars,Chai and Catch Me,Bar,1.59,45,200,8,140,,28,3,18,7,7,4.44,126,4.0,34%,34%,0.70
Picky Bars,Cookie Doughness (Cinnamon Blazin' Raisin),Bar,1.59,45,200,8,75,,28,3,18,7,7,4.44,126,4.0,34%,34%,0.38
Picky Bars,Moroccan Your World,Bar,1.59,45,200,8,132,,28,3,18,7,7,4.44,126,4.0,34%,34%,0.66
Picky Bars,Smooth Caffeinator,Bar,1.59,45,200,8,67,,28,3,22,3,7,4.44,126,4.0,34%,42%,0.34
88 Acres,Dark Chocolate Sea Salt,Bar,1.59,45,200,11,115,170,22,3,9,10,6,4.44,126,3.7,47%,17%,0.58
88 Acres,Double Chocolate Mocha,Bar,1.59,45,200,11,110,180,21,3,9,9,6,4.44,126,3.5,48%,17%,0.55
88 Acres,Spiced Ginger Apple,Bar,1.59,45,200,11,110,180,21,3,9,9,6,4.44,126,3.5,48%,17%,0.55
88 Acres,Cinnamon and Oats,Bar,1.59,45,200,11,110,200,21,3,7,11,7,4.44,126,3.0,47%,13%,0.55
Kashi,Dark Chocolate Cashew Chia,Bar,1.59,45,200,10,115,,21,4,8,9,8,4.44,126,2.6,44%,16%,0.58
Zone Perfect,Salted Caramel Brownie,Bar,1.59,45,200,9,300,90,19,1,14,4,11,4.44,126,1.7,40%,28%,1.50
Maruchan,"Ramen Noodles, chicken",Sides,1.52,43,190,7,830,,26,1,1,24,4,4.42,125,6.5,34%,2%,4.37
Signature (Safeway),Strawberry Patch,Trail Mix,1.52,43,190,10,0,200,23,3,16,4,4,4.42,125,5.8,45%,32%,0.00
3 Musketeers,Original,Candy,1.92,54.4,240,7,90,,42,1,36,5,1,4.41,125,42.0,27%,61%,0.38
Clif Builder's,Crunchy Peanut Butter,Bar,2.40,68,300,11,330,198,29,2,16,11,20,4.41,125,1.5,34%,22%,1.10
Kind (Breakfast),Blueberry Almond,Bar,1.76,50,220,9,20,,32,5,10,17,3,4.40,125,10.7,37%,18%,0.09
Kind (Breakfast),Honey Oat,Bar,1.76,50,220,8,35,,33,5,10,18,4,4.40,125,8.3,33%,18%,0.16
Kind (Breakfast),Almond Butter Protein,Bar,1.76,50,220,10,115,,26,4,10,12,8,4.40,125,3.3,40%,18%,0.52
Kind (Breakfast),Dark Chocolate Cocoa Protein,Bar,1.76,50,220,9,85,,26,4,10,12,8,4.40,125,3.3,37%,18%,0.39
Kind (Breakfast),Peanut Butter Banana Dark Chocolate Protein,Bar,1.76,50,220,11,135,,25,4,10,11,8,4.40,125,3.1,43%,17%,0.61
Mountain House,Granola with Milk and Blueberries,Cereal,2.01,57,250,9,65,,37,4,16,17,8,4.39,124,4.6,31%,25%,0.26
Werther's,"Original Hard Candy, Caramel",Candy,0.56,16,70,1.5,45,,14,0,10,4,0,4.38,124,#DIV/0!,19%,58%,0.64
Saltine,Premium Original Crackers,Cracker,0.56,16,70,1.5,135,20,12,0,0,12,1,4.38,124,12.0,21%,0%,1.93
Larabar,Coconut Cream Pie,Bar,1.69,48,210,10,5,230,28,4,20,4,3,4.38,124,9.3,42%,37%,0.02
Starbucks Via,Instant Coffee Caramel Latte,Drink,1.13,32,140,3.5,65,,22,0,20,2,4,4.38,124,5.5,23%,59%,0.46
Starbucks Via,Instant Coffee Pumpkin Spice Latte,Drink,1.13,32,140,3.5,65,,22,0,21,1,4,4.38,124,5.5,23%,62%,0.46
Hoosier Hill Farm,Cheddar Cheese Powder,Bump,0.28,8,35,2,290,,3,0,2,1,1,4.38,124,3.0,53%,24%,8.29
Gatorade Recover,Mint Chocolate Crunch,Bar,2.82,80,350,12,180,,42,1,28,13,20,4.38,124,2.1,30%,31%,0.51
Gatorade Recover,Peanut Butter Chocolate,Bar,2.82,80,350,13,340,,40,1,25,14,20,4.38,124,2.0,33%,28%,0.97
Atkins,Peanut Butter Granola Bar,Bar,1.69,48,210,11,240,70,19,5,1,13,15,4.38,124,1.3,42%,2%,1.14
Atkins,Chocolate Chip Granola,Bar,1.69,48,210,9,250,100,17,6,1,10,18,4.38,124,0.9,37%,2%,1.19
Off The Farm,Cocoa Coconut Macaroon,Bar,2.50,71,310,15,20,310,41,7,18,16,7,4.37,124,5.9,41%,22%,0.06
Hershey's,Milk Duds,Candy,1.38,39,170,6,100,,28,0,20,8,1,4.36,124,28.0,32%,47%,0.59
Cadbury,Royal Dark Chocolate,Candy,1.38,39,170,12,0,,23,3,20,0,2,4.36,124,11.5,52%,38%,0.00
Bonk Breaker,Peanut Butter Chocolate Chip,Bar,2.19,62,270,11,65,210,31,3,16,12,13,4.35,123,2.4,36%,23%,0.24
Hostess,HoHos,Pastry,3.00,85,370,17,170,,53,1,43,9,2,4.35,123,26.5,41%,46%,0.46
Pro Bar (Meal),Superfruit Slam,Bar,3.00,85,370,15,25,330,50,6,21,23,8,4.35,123,6.3,37%,23%,0.07
Pro Bar (Meal),Wholeberry Blast,Bar,3.00,85,370,16,25,320,50,6,23,21,8,4.35,123,6.3,38%,24%,0.07
Pro Bar (Meal),Superberry and Greens,Bar,3.00,85,370,16,25,350,50,6,21,23,9,4.35,123,5.6,38%,22%,0.07
Pro Bar (Meal),Original Trail Mix,Bar,3.00,85,370,17,25,390,48,6,23,19,9,4.35,123,5.3,40%,24%,0.07
Pro Bar (Meal),Mocha Almond Fudge,Bar,3.00,85,370,17,25,380,48,6,21,21,10,4.35,123,4.8,40%,22%,0.07
Taos Bakes,Pecan Praline + Maple Syrup,Bar,1.80,51,222,17,120,,14,4,9,1,8,4.35,123,1.8,63%,15%,0.54
Muscle Milk,Chocolate Peanut Butter,Bar,2.93,83,360,13,400,190,31,6,15,10,30,4.34,123,1.0,32%,17%,1.11
Necco,Clark Bar,Candy,2.12,60,260,10,120,,45,1,32,12,3,4.33,123,15.0,32%,45%,0.46
Triscuit,"Brown Rice, Sweet Potato, Roasted Onion",Cracker,1.06,30,130,3.5,90,80,23,2,1,20,2,4.33,123,11.5,24%,3%,0.69
Yupik,Dry Navy Beans,Sides,1.06,30,130,0,2,300,24,10,2,12,7,4.33,123,3.4,0%,6%,0.02
GoMacro,Protein Paradise (Cashew Caramel),Bar,2.12,60,260,11,35,,30,1,10,19,11,4.33,123,2.7,38%,15%,0.13
Pro Bar (Bite),Coconut Almond,Bar,1.31,37,160,7,50,110,20,5,4,11,5,4.32,123,4.0,39%,10%,0.31
Robert Irvine Fortifx,Chocolate Chip Cookie Dough,Bar,3.10,88,380,16,320,100,27,2,6,19,30,4.32,122,0.9,39%,6%,0.84
Robert Irvine Fortifx,Cookies and Cream,Bar,3.10,88,380,16,490,100,27,2,6,19,30,4.32,122,0.9,39%,6%,1.29
Robert Irvine Fortifx,Peanut Butter,Bar,3.10,88,380,16,490,100,27,2,6,19,30,4.32,122,0.9,39%,6%,1.29
Buff Bake,"Protein Sandwich Cookie, Peanut Butter Cup",Cookie,1.80,51,220,13,85,,17,1,13,3,12,4.31,122,1.4,50%,22%,0.39
Buff Bake,"Protein Sandwich Cookie, Snickerdoodle",Cookie,1.80,51,220,12,95,,17,2,13,2,12,4.31,122,1.4,48%,23%,0.43
Buff Bake,"Protein Sandwich Cookie, Double Chocolate",Cookie,1.80,51,220,13,90,,16,2,12,2,12,4.31,122,1.3,51%,21%,0.41
The Paleo Diet Bar,Cinnamon Raisin,Bar,2.54,72,310,14,170,,31,7,22,2,17,4.31,122,1.8,40%,28%,0.55
Greenbelly,"Meal 2GO, Mango Cashew Coconut",Bar,5.47,155,665,25,750,585,100,7,39,54,16,4.29,122,6.3,33%,23%,1.13
Greenbelly,"Meal 2GO, Peanut/Apricot",Bar,5.47,155,665,23,720,930,100,10,30,60,18,4.29,122,5.6,30%,18%,1.08
Signature (Safeway),Pitted Dates,Fruit,0.99,28,120,0,0,,31,3,29,-1,1,4.29,121,31.0,0%,91%,0.00
Swiss Miss,Classic Milk Chocolate Hot Cocoa,Drink,0.74,21,90,2,150,270,16,1,8,7,1,4.29,121,16.0,21%,37%,1.67
Starbucks,Classic Hot Cocoa Mix,Drink,0.99,28,120,2,0,,22,3,17,2,2,4.29,121,11.0,16%,60%,0.00
Starbucks,"Hot Cocoa Mix, Double Chocolate",Drink,0.99,28,120,2.5,0,,22,3,17,2,2,4.29,121,11.0,19%,57%,0.00
Nature Valley,"Crunchy Granola Bars, Almond Butter",Bar,1.48,42,180,8,125,,25,2,12,11,3,4.29,121,8.3,39%,26%,0.69
Kind (Healthy Grains),Double Dark Chocolate,Bar,1.23,35,150,5,90,,23,2,5,16,3,4.29,121,7.7,30%,13%,0.60
Kind (Healthy Grains),Oats & Honey with Toasted Coconut,Bar,1.23,35,150,5,95,,23,2,6,15,3,4.29,121,7.7,30%,16%,0.63
Kind (Healthy Grains),Peanut Butter Dark Chocolate,Bar,1.23,35,150,5,75,,23,2,7,14,3,4.29,121,7.7,30%,19%,0.50
Kind (Healthy Grains),Maple Pumpkin Seeds with Sea Salt,Bar,1.23,35,150,6,85,,22,2,5,15,3,4.29,121,7.3,35%,13%,0.57
Triscuit,Original,Cracker,0.99,28,120,4,160,115,20,3,0,17,3,4.29,121,6.7,28%,0%,1.33
Honey Stinger,Dark Chocolate Mint Almond Pro,Bar,1.48,42,180,8,30,90,19,2,16,1,10,4.29,121,1.9,38%,34%,0.17
Honey Stinger,Dark Chocolate Mocha Cherry Pro,Bar,1.48,42,180,8,30,90,19,2,16,1,10,4.29,121,1.9,38%,34%,0.17
Atkins,Peanut Butter Fudge Crisp,Bar,1.23,35,150,7,160,110,15,8,1,6,10,4.29,121,1.5,39%,2%,1.07
Wild Zora (Meat Bar),"Lamb with Spinach, Rosemary & Turmeric",Meat,0.99,28,120,7,200,,8,1,6,1,6,4.29,121,1.3,53%,20%,1.67
Oberto,Trail Mix with Dried Teriyaki Chicken,Trail Mix,0.99,28,120,8,135,,8,1,6,1,6,4.29,121,1.3,56%,19%,1.13
Epic (Jerky Mix),Berry Blossom,Trail Mix,0.99,28,120,6,280,,8,0,5,3,7,4.29,121,1.1,47%,18%,2.33
Great Value (Walmart),Sweet Maple Glazed Bacon,Jerky,0.99,28,120,7,530,115,4,0,4,0,10,4.29,121,0.4,53%,13%,4.42
Old Trapper,Original Deli Style Beef Stick,Meat,0.99,28,120,10,770,,2,1,0,1,6,4.29,121,0.3,74%,0%,6.42
Tillamook,Colby Jack (block),Cheese,0.99,28,120,9,190,,2,0,0,2,7,4.29,121,0.3,69%,0%,1.58
Tillamook,"Cheese packet, Medium Cheddar",Cheese,0.74,21,90,7,150,,1,0,0,1,5,4.29,121,0.2,72%,0%,1.67
Tillamook,"Cheese packet, Sharp White Cheddar",Cheese,0.74,21,90,8,160,,1,0,0,1,5,4.29,121,0.2,75%,0%,1.78
Jack Links,"Breakfast Bacon Jerky, Brown Sugar & Maple",Jerky,0.99,28,120,8,360,,2,0,2,0,11,4.29,121,0.2,58%,6%,3.00
Beecher's,Smoked Flagship,Cheese,0.99,28,120,9,230,,1,0,0,1,7,4.29,121,0.1,72%,0%,1.92
Quijote,Chorizos Caseros,Meat,0.99,28,120,10,540,,1,0,0,1,7,4.29,121,0.1,74%,0%,4.50
Oberto,Beef Pepperoni Sticks,Meat,0.99,28,120,8,450,,1,0,1,0,8,4.29,121,0.1,67%,4%,3.75
Primo Taglio,Danish Havarti (block),Cheese,0.99,28,120,11,220,,0,0,0,0,5,4.29,121,0.0,83%,0%,1.83
Kirkland,Bacon Crumbles,Meat,0.25,7,30,2,125,,0,0,0,0,2,4.29,121,0.0,69%,0%,4.17
Oscar Meyer,Real Bacon Bits,Meat,0.25,7,30,2,160,,0,0,0,0,3,4.29,121,0.0,60%,0%,5.33
Clif Builder's,Chocolate Peanut Butter,Bar,2.40,68,290,11,330,213,29,2,17,10,20,4.26,121,1.5,34%,23%,1.14
Greenbelly,"Meal 2GO, Dark Chocolate Banana",Bar,5.47,155,660,26,720,420,95,10,28,57,17,4.26,121,5.6,34%,16%,1.09
Kind,Almond & Apricot,Bar,1.41,40,170,11,15,135,21,5,10,6,4,4.25,120,5.3,50%,20%,0.09
Kind,Blueberry Almond Pecan,Bar,1.41,40,170,13,20,,18,5,8,5,4,4.25,120,4.5,57%,16%,0.12
Kind,Raspberry Cashew Chia,Bar,1.41,40,170,11,20,150,21,3,10,8,5,4.25,120,4.2,49%,20%,0.12
Atkins,Chocolate Coconut Bar,Bar,1.41,40,170,12,65,150,19,8,1,10,5,4.25,120,3.8,53%,2%,0.38
Kind,Dark Chocolate Almond Mint,Bar,1.41,40,170,15,15,,16,6,5,5,5,4.25,120,3.2,62%,9%,0.09
Kind,Dark Chocolate Mocha Almond,Bar,1.41,40,170,15,15,,16,7,5,4,5,4.25,120,3.2,62%,9%,0.09
Kind,Caramel Almond & Sea Salt,Bar,1.41,40,170,15,125,,16,7,5,4,6,4.25,120,2.7,61%,9%,0.74
Gatorade Recover,Chocolate Pretzel,Bar,2.82,80,340,11,380,,42,1,26,15,20,4.25,120,2.1,29%,30%,1.12
Atkins,White Chocolate Macadamia Nut,Bar,1.41,40,170,8,180,50,15,8,2,5,12,4.25,120,1.3,40%,4%,1.06
Carnivore Candy,Bacon Jerky Applewood Smoke Style,Jerky,1.00,28.3,120,8,650,,5,0,5,0,8,4.24,120,0.6,58%,16%,5.42
Tram Bar,Peanut Butter Milk Chocolate Trail Mix,Bar,3.00,85,360,16,140,,49,5,25,19,8,4.24,120,6.1,39%,27%,0.39
Go Bacon,Uncured Maple Bacon Jerky,Jerky,1.50,42.5,180,12,975,,7.5,0,7.5,0,12,4.24,120,0.6,58%,16%,5.42
Kraft,Creamy Ceasar Salad Dressing packet,Bump,2.00,56.7,240,24,620,,3,0,2,1,3,4.23,120,1.0,90%,3%,2.58
RXBAR,"Whole Food Protein Bar, Maple Sea Salt",Bar,1.83,52,220,10,250,,22,3,13,6,12,4.23,120,1.8,40%,23%,1.14
Off The Farm,Apple Cinnamon Pecan,Bar,2.50,71,300,11,15,1020,46,8,24,14,6,4.23,120,7.7,32%,31%,0.05
Larabar,Carrot Cake,Bar,1.59,45,190,8,5,310,26,4,19,3,3,4.22,120,8.7,38%,40%,0.03
Larabar,Banana Chocolate Chip,Bar,1.59,45,190,9,0,350,26,4,20,2,4,4.22,120,6.5,40%,40%,0.00
88 Acres,Triple Berry Blend,Bar,1.59,45,190,9,110,190,23,3,10,10,5,4.22,120,4.6,42%,21%,0.58
88 Acres,Spiced Cranberry Orange,Bar,1.59,45,190,9,105,80,24,3,11,10,6,4.22,120,4.0,40%,22%,0.55
Zone Perfect,Double Dark Chocolate,Bar,1.59,45,190,6,210,160,22,1,14,7,12,4.22,120,1.8,28%,29%,1.11
Svenhard's,Breakfast Claws,Pastry,2.01,57,240,12,240,,32,1,18,13,3,4.21,119,10.7,44%,29%,1.00
Svenhard's,Cinnamon Horns,Pastry,2.01,57,240,12,230,,32,1,19,12,3,4.21,119,10.7,44%,31%,0.96
GoMacro (MacroBar),Protein Pleasure (Peanut Butter Choc. Chip),Bar,2.43,69,290,11,40,,37,2,14,21,11,4.20,119,3.4,34%,19%,0.14
Pop Tarts,Brown Sugar Cinnamon,Pastry,1.76,50,210,7,170,,35,1,15,19,2,4.20,119,17.5,30%,28%,0.81
Pop Tarts,Cinnamon Roll,Pastry,1.76,50,210,7,170,,34,1,13,20,2,4.20,119,17.0,30%,25%,0.81
Kind (Breakfast),Apple Cinnamon Probiotic,Bar,1.76,50,210,7,110,,33,4,10,19,3,4.20,119,11.0,30%,19%,0.52
Swissli,Muesli,Cereal,1.76,50,210,7,70,230,32,6,0,26,7,4.20,119,4.6,29%,0%,0.33
Zone Perfect,Fudge Graham,Bar,1.76,50,210,7,200,90,23,3,15,5,14,4.20,119,1.6,30%,28%,0.95
MET-Rx Big100,Super Cookie Crunch,Bar,3.53,100,420,14,320,410,42,3,26,13,32,4.20,119,1.3,30%,25%,0.76
General Mills,Cinnamon Toast Crunch,Cereal,1.09,31,130,3,180,55,25,2,9,14,1,4.19,119,25.0,21%,27%,1.38
Cascadian Farm,Organic Granola Oats & Honey,Cereal,2.19,62,260,7,55,,46,3,14,29,6,4.19,119,7.7,23%,21%,0.21
Greenbelly,"Meal 2GO, Cranberry/Almond",Bar,5.47,155,650,24,720,570,95,9,43,43,17,4.19,119,5.6,33%,26%,1.11
Starbucks Via,Instant Coffee Vanilla Latte,Drink,1.09,31,130,3.5,65,,21,0,19,2,4,4.19,119,5.3,24%,58%,0.50
Wild Zora (Meat Bar),"Taco Port with Cilantro, Lime & Jalapeno",Meat,1.09,31,130,8,190,,10,2,7,1,7,4.19,119,1.4,51%,20%,1.46
Wild Zora (Meat Bar),"Apple Pork with Kale, Parsley, Sage, etc.",Meat,1.09,31,130,8,200,,9,1,7,1,7,4.19,119,1.3,53%,21%,1.54
Umchu Primitive Nutrition,Cinnamon Pecan,Bar,1.52,43,180,6,30,,28,2,10,16,3,4.19,119,9.3,30%,22%,0.17
Sargento,"Cheese, nuts, fruit pack",Cheese,1.52,43,180,11,190,,12,2,8,2,7,4.19,119,1.7,57%,18%,1.06
Kirkland,"Soft & Chewy Granola, Chocolate Chip",Bar,0.85,24,100,2.5,40,,18,1,6,11,1,4.17,118,18.0,23%,24%,0.40
Bear Creek,"Soup Mix, Cheddar Broccoli",Soup,1.27,36,150,6,890,,22,0,7,15,2,4.17,118,11.0,36%,19%,5.93
Larabar,Cherry Pie,Bar,1.69,48,200,8,0,330,28,4,20,4,4,4.17,118,7.0,36%,40%,0.00
Quaker,"Simply Granola Oats, Honey & Almonds",Cereal,1.69,48,200,6,25,230,35,5,10,20,5,4.17,118,7.0,25%,19%,0.13
Sheffa,"Everything (onion, garlic, spices)",Bar Savory,1.27,36,150,6,100,,23,7,0,16,4,4.17,118,5.8,33%,0%,0.67
Sheffa,Sesame,Bar Savory,1.27,36,150,6,105,,23,7,0,16,4,4.17,118,5.8,33%,0%,0.70
Signature (Safeway),Wasabi Peas,Nuts/Seeds,1.06,30,125,1,180,,20,2,5,13,7,4.17,118,2.9,8%,17%,1.44
Luna,Chocolate Dipped Coconut,Bar,1.69,48,200,8,190,110,24,3,8,13,9,4.17,118,2.7,35%,16%,0.95
Atkins,Chocolate Peanut Butter,Bar,2.12,60,250,14,250,210,23,12,2,9,16,4.17,118,1.4,45%,3%,1.00
Soldier Fuel Energy Bar,Real Peanut Butter,Bar,2.29,65,270,8,135,210,41,2,15,24,10,4.15,118,4.1,26%,22%,0.50
Hostess,Jumbo Honey Buns,Pastry,4.76,135,560,31,450,,66,2,33,31,5,4.15,118,13.2,50%,23%,0.80
Pro Bar (Protein),Peanut Butter Chocolate,Bar,2.47,70,290,9,380,180,32,3,14,15,20,4.14,117,1.6,28%,19%,1.31
Pro Bar (Protein),Frosted Peanut Butter,Bar,2.47,70,290,10,370,170,31,2,14,15,20,4.14,117,1.6,31%,19%,1.28
General Mills,Reese's Puffs,Cereal,1.02,29,120,3,160,70,22,1,9,12,2,4.14,117,11.0,22%,29%,1.33
Bear Valley,"Pemmican, Carob-Cocoa",Bar,1.88,53.2,220,6,40,,34,3,12,19,8,4.14,117,4.3,24%,22%,0.18
Gatorade Recover,Chocolate Caramel,Bar,2.82,80,330,10,190,,43,0,28,15,20,4.13,117,2.2,26%,33%,0.58
Lipton,Hot Spiced Cider,Drink,0.60,17,70,0,15,,16,0,16,0,0,4.12,117,#DIV/0!,0%,100%,0.21
Taos Mountain Energy Bar,Toasted Coconut + Vanilla Bean,Bar,1.80,51,210,15,58,,18,4,12,2,7,4.12,117,2.6,57%,20%,0.28
Taos Mountain Energy Bar,Pinon Coffee + Dk Chocolate,Bar,1.80,51,210,15,54,,17,4,11,2,9,4.12,117,1.9,56%,18%,0.26
Atkins,Peanut Caramel Cluster,Bar,1.20,34,140,10,180,110,13,6,1,6,7,4.12,117,1.9,53%,2%,1.29
Clif Builder's,Chocolate Mint,Bar,2.40,68,280,9,200,234,31,3,17,11,20,4.12,117,1.6,28%,24%,0.71
Clif Builder's,Cookies 'N Cream,Bar,2.40,68,280,10,210,229,30,3,17,10,20,4.12,117,1.5,31%,23%,0.75
Bonk Breaker,Almond Cherry Chunk,Bar,2.19,62,255,10,55,220,33,5,15,13,13,4.11,117,2.5,33%,22%,0.22
MET-Rx Big100,Peanut Butter Pretzel,Bar,3.53,100,410,12,510,210,47,3,28,16,30,4.10,116,1.6,26%,27%,1.24
Rice Krispies,Treat Bars,Pastry,0.78,22,90,2,105,,17,0,8,9,1,4.09,116,17.0,20%,36%,1.17
Hostess,"Danish, Berries & Cream Cheese",Pastry,5.01,142,580,28,570,,72,2,27,43,10,4.08,116,7.2,43%,19%,0.98
Bear Creek,"Grown-Up Mac & Cheese, Creamy Chipotle",Sides,2.50,71,290,8,1020,,44,2,6,36,8,4.08,116,5.5,26%,9%,3.52
Quaker,Captain Crunch,Cereal,0.95,27,110,1.5,210,50,23,1,12,10,1,4.07,115,23.0,12%,44%,1.91
General Mills,Lucky Charms,Cereal,0.95,27,110,1,170,50,22,2,10,10,2,4.07,115,11.0,9%,38%,1.55
