Brand,Flavor,Class,Serv(oz),Serv(g),Cal/Serv,Fat,Na,K,Carbs,Fiber,Sugar,Other,Protein,kcal/g,kcal/oz,Carb/Pro,Fat %,Sugar %,Na/kcal
Bark Thins,Dark Chocolate Pumpkin Seed with Sea Salt,Candy,1.41,40,230,14,50,,18,1,15,2,7,5.75,163,2.6,56%,27%,0.22
Lays,"Potato Chips, Classic",Cracker,0.99,28,160,10,170,350,15,1,1,13,2,5.71,162,7.5,57%,3%,1.06
Ruffles,"Potato Chips, Original",Cracker,0.99,28,160,10,160,340,15,1,1,13,2,5.71,162,7.5,57%,3%,1.00
Signature (Safeway),"Whole Cashews, Unsalted",Nuts/Seeds,0.99,28,160,13,0,,8,1,1,6,5,5.71,162,1.6,69%,2%,0.00
Signature (Safeway),Raw Almonds Unsalted,Nuts/Seeds,0.99,28,160,14,0,,6,3,1,2,6,5.71,162,1.0,72%,2%,0.00
Power Crunch,Pro - French Vanilla Crème,Bar,2.05,58,330,23,170,,13,1,7,5,20,5.69,161,0.7,61%,8%,0.52
Bare Snacks,Baked Crunchy Toasted Coconut Chips,Fruit,1.06,30,170,11,170,,17,6,11,0,1,5.67,161,17.0,58%,26%,1.00
Safeway (bulk dispenser),Glazed Walnuts,Nuts/Seeds,1.06,30,170,14,0,,12,1,9,2,3,5.67,161,4.0,68%,19%,0.00
RiverTrail,Cranberry Health Mix,Trail Mix,1.06,30,170,13,110,,12,3,6,3,6,5.67,161,2.0,62%,13%,0.65
Kirkland,Cashews,Nuts/Seeds,1.06,30,170,14,120,,9,1,2,6,5,5.67,161,1.8,69%,4%,0.71
Signature (Safeway),Raw Spanish Peanuts,Nuts/Seeds,1.06,30,170,15,10,,5,3,1,1,8,5.67,161,0.6,72%,2%,0.06
Safeway (bulk dispenser),Pine Nuts,Nuts/Seeds,1.06,30,170,15,0,,4,1,0,3,7,5.67,161,0.6,75%,0%,0.00
Fritos,Corn Chips,Cracker,2.00,56.7,320,20,320,,32,3,1,28,3,5.64,160,10.7,56%,1%,1.00
Wild Friends,Chocolate Coconut Peanut Butter,Nut Butter,1.13,32,180,15,30,,10,2,5,3,6,5.63,159,1.7,68%,10%,0.17
Peanut Butter & Co,Smooth Operator,Nut Butter,1.13,32,180,15,100,,8,2,3,3,7,5.63,159,1.1,69%,6%,0.56
Pro Bar,Chocolate Peanut Butter,Nut Butter,1.13,32,180,14,85,224,8,3,4,1,7,5.63,159,1.1,68%,9%,0.47
